69/69logo_small;69LOGO_SMALL
79dr_ctf/platfill_b3_frozen;PLATFILL_B3_FRO
79dr_ctf/platfill_r3_frozen;PLATFILL_R3_FRO
79dr_floor/clang_floor3bstairtop2_frozen;CLANG_FLOOR3BST
79dr_floor/clangdark_frozen;CLANGDARK_FROZE
79dr_floor/clangdark_ow_frozen;CLANGDARK_OW_FR
79dr_floor/clangdarkspot_frozen;CLANGDARKSPOT_F
79dr_terrain/snow3;SNOW3
79dr_terrain/snow3_dirty;SNOW3_DIRTY
79dr_wall/km_arena1tower1_frozen_blue;KM_ARENA1TOWER1
79dr_wall/km_arena1tower1_frozen_red;KM_ARENA1TOWE00
AciD/AciD_grate1;ACID_GRATE1
AciD/AciD_grate2;ACID_GRATE2
AciD/AciD_tele;ACID_TELE
AciD/AciD_trim4;ACID_TRIM4
AciD/AciD_wall_1;ACID_WALL_1
AciD/black;BLACK
AciD/e8support06b_AciD;E8SUPPORT06B_AC
AciD/light_white;LIGHT_WHITE
AciD/sky_black;SKY4
AciD/struc_fluffy;STRUC_FLUFFY
AciD/struc_grey;STRUC_GREY
AciD/struc_white;STRUC_WHITE
AciD/wall_cyan033;WALL_CYAN033
AciD/wall_cyan066;WALL_CYAN066
AciD/wall_cyan100;WALL_CYAN100
AciD/wall_olive033;WALL_OLIVE033
AciD/wall_olive066;WALL_OLIVE066
AciD/wall_olive100;WALL_OLIVE100
AciD/wall_purple033;WALL_PURPLE033
AciD/wall_purple066;WALL_PURPLE066
AciD/wall_purple100;WALL_PURPLE100
AciD/wall_red033;WALL_RED033
AciD/wall_red066;WALL_RED066
AciD/wall_red100;WALL_RED100
ad_content/ad1x1;AD1X1
ad_content/ad2x1;AD2X1
ad_content/ad4x1;AD4X1
ad_content/ad8x1;AD8X1
ad_content/adbrightoverlay;ADBRIGHTOVERLAY
ad_content/adposter;ADPOSTER
arcanecitadel/authors;AUTHORS
arcanecitadel/honor;HONOR
arcanecitadel/phantgothic_floor_004;PHANTGOTHIC_FLO
arena1/grt_rst1;GRT_RST1
avatar/arrow1;ARROW1
avatar/arrow2;ARROW2
avatar/arrow3;ARROW3
avatar/arrows;ARROWS
avatar/avclouds2;AVCLOUDS2
avatar/avclouds3;AVCLOUDS3
avatar/black;BLACK00
avatar/blocks15;BLOCKS15
avatar/bluesky1;BLUESKY1
avatar/bluesky2;BLUESKY2
avatar/bluesky3;BLUESKY3
avatar/castsky1;CASTSKY1
avatar/castsky3;CASTSKY3
avatar/churchfog;CHURCHFOG
avatar/churchglass;CHURCHGLASS
avatar/cyansky;CYANSKY
avatar/dimclouds;DIMCLOUDS
avatar/energycloud;ENERGYCLOUD
avatar/energyfield;ENERGYFIELD
avatar/energyfield;ENERGYFIELD00
avatar/energyfield2;ENERGYFIELD2
avatar/fire1;FIRE1
avatar/firesky1;FIRESKY1
avatar/firesky2;FIRESKY2
avatar/firesky3;FIRESKY3
avatar/greysky1;GREYSKY1
avatar/handtex;HANDTEX
avatar/lit;LIT
avatar/redlight;REDLIGHT
avatar/riverbed;RIVERBED
avatar/riverlight;RIVERLIGHT
avatar/rlighttop;RLIGHTTOP
avatar/rock1;ROCK1
avatar/skyline1;SKYLINE1
avatar/spikeblood;SPIKEBLOOD
avatar/whitelight;WHITELIGHT
base_button/metal3_3_shootme;METAL3_3_SHOOTM
base_ceiling/metceil1d;METCEIL1D
base_door/c_ggrate8_b;C_GGRATE8_B
base_door/kcdm18door_bot;KCDM18DOOR_BOT
base_door/kcdm18door_top;KCDM18DOOR_TOP
base_door/kcdm18talldoormetal;KCDM18TALLDOORM
base_door/kcdm18talldoormetal_top;KCDM18TALLDOO00
base_door/kcdm18talldoorpatch10bottom;KCDM18TALLDOORP
base_door/kcdm18talldoorpatch10top;KCDM18TALLDOO01
base_door/quake3sign;QUAKE3SIGN
base_door/quake3sign_outside;QUAKE3SIGN_OUTS
base_door/shinymetaldoor;SHINYMETALDOOR
base_door/shinymetaldoor_outside;SHINYMETALDOOR_
base_door/shinymetaldoor_outside3a2;SHINYMETALDOO00
base_door/xdm2_archsupport_sidea_fin;XDM2_ARCHSUPPOR
base_door/xdm2_left_e4fin;XDM2_LEFT_E4FIN
base_door/xdm2_left_e7fin;XDM2_LEFT_E7FIN
base_door/xdm2_right_e7fin;XDM2_RIGHT_E7FI
base_floor/achtung_clang;ACHTUNG_CLANG
base_floor/clang_floor;CLANG_FLOOR
base_floor/clang_floor_ow2;CLANG_FLOOR_OW2
base_floor/clang_floor2;CLANG_FLOOR2
base_floor/clang_floor3b;CLANG_FLOOR3B
base_floor/clang_floor3blava;#CLANG_FLOOR3BL
base_floor/clang_floor3bstairtop;CLANG_FLOOR3B00
base_floor/clang_floor3bstairtop2;CLANG_FLOOR3B01
base_floor/clang_floor4;CLANG_FLOOR4
base_floor/clang_floor4b;CLANG_FLOOR4B
base_floor/clangdark;CLANGDARK
base_floor/clangdark_ow;CLANGDARK_OW
base_floor/clangdark_ow2;CLANGDARK_OW2
base_floor/clangdark_ow3;CLANGDARK_OW3
base_floor/clangdarkspot;CLANGDARKSPOT
base_floor/clanggrate;CLANGGRATE
base_floor/clanggrate2;CLANGGRATE2
base_floor/clangspot2;CLANGSPOT2
base_floor/concfloor_rain;CONCFLOOR_RAIN
base_floor/concrete;CONCRETE
base_floor/concrete_worn;CONCRETE_WORN
base_floor/concretefloor1;CONCRETEFLOOR1
base_floor/cybergrate2;CYBERGRATE2
base_floor/cybergrate3;CYBERGRATE3
base_floor/diamond2;DIAMOND2
base_floor/diamond2c;DIAMOND2C
base_floor/diamond2c_ow;DIAMOND2C_OW
base_floor/diamond2cspot;DIAMOND2CSPOT
base_floor/dirt;DIRT
base_floor/fireswirl2blue;FIRESWIRL2BLUE
base_floor/floor3_3dark;FLOOR3_3DARK
base_floor/floor3_3dark_ow;FLOOR3_3DARK_OW
base_floor/hfloor3;HFLOOR3
base_floor/manhole;MANHOLE
base_floor/metalbridge04d;METALBRIDGE04D
base_floor/metalbridge04dbroke;METALBRIDGE04DB
base_floor/metalbridge04dbroke2;METALBRIDGE0400
base_floor/metalbridge06;METALBRIDGE06
base_floor/metaltechfloor01final;METALTECHFLOOR0
base_floor/metfloor1;METFLOOR1
base_floor/pjgrate1;PJGRATE1
base_floor/pjgrate2;PJGRATE2
base_floor/pool_floor2;POOL_FLOOR2
base_floor/pool_side2;POOL_SIDE2
base_floor/poundedround_dark;POUNDEDROUND_DA
base_floor/proto_grate;PROTO_GRATE
base_floor/proto_grate3;PROTO_GRATE3
base_floor/proto_grate4;PROTO_GRATE4
base_floor/proto_grill;PROTO_GRILL
base_floor/proto_rustygrate;PROTO_RUSTYGRAT
base_floor/proto_rustygrate2;PROTO_RUSTYGR00
base_floor/rusty_pentagrate;RUSTY_PENTAGRAT
base_floor/skylight_spec;SKYLIGHT_SPEC
base_floor/skylight_spec2;SKYLIGHT_SPEC2
base_floor/skylight1;SKYLIGHT1
base_floor/skylight1_lm;SKYLIGHT1_LM
base_floor/smallstone;SMALLSTONE
base_floor/step_192x32_trimmed;STEP_192X32_TRI
base_floor/step_32;STEP_32
